FID,gid,entidad,objeto,fna,gna,nam,sag,fun,geom,fdc
areas_de_actividad_agropecuaria_AL270.1282,1282,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-59.098807705999945 -35.20249080599996, -59.098833371999945 -35.202546266999946, -59.100780860999976 -35.20211895399996, -59.10061429899997 -35.20160023099993, -59.09863013599994 -35.20210709099996, -59.098807705999945 -35.20249080599996)))",Esri-World_Imagery 2010
areas_de_actividad_agropecuaria_AL270.730,730,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.21326387199997 -34.89510451399997, -58.214061319999985 -34.89580262099997, -58.21562310899998 -34.89455688499993, -58.21480765399997 -34.89386656499994, -58.21326387199997 -34.89510451399997)))",IGN
areas_de_actividad_agropecuaria_AL270.731,731,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.23256479299994 -34.89400207199998, -58.231710765999935 -34.89326250999994, -58.23098466199997 -34.893821342999956, -58.231878766999955 -34.89455172099997, -58.23256479299994 -34.89400207199998)))",IGN
areas_de_actividad_agropecuaria_AL270.732,732,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.22767146299998 -34.89394671799994, -58.227672394999956 -34.893946005999965, -58.22781617399994 -34.89383609999993, -58.22866952199996 -34.89317398999998, -58.22879260099995 -34.89306962599994, -58.22864520799993 -34.89291437199995, -58.22811021899997 -34.892448144999946, -58.22787922899994 -34.89224886599993, -58.22774686599996 -34.892134673999976, -58.226624268999956 -34.892967959999964, -58.22767146299998 -34.89394671799994)))",IGN
areas_de_actividad_agropecuaria_AL270.733,733,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.211060628999974 -34.891468102999966, -58.21025267899995 -34.890842401999976, -58.209806166999954 -34.89118309999998, -58.21061213699994 -34.89181570499994, -58.211060628999974 -34.891468102999966)))",IGN
areas_de_actividad_agropecuaria_AL270.734,734,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.21739478999996 -34.88470335299996, -58.217396159999964 -34.884704528999976, -58.21742922799996 -34.88473291199995, -58.21771676599997 -34.88499676799995, -58.217983766999964 -34.88521290799997, -58.21803902999994 -34.88525764299993, -58.21887267699998 -34.884551329999965, -58.21822562099993 -34.88404508999997, -58.21739478999996 -34.88470335299996)))",IGN
areas_de_actividad_agropecuaria_AL270.735,735,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.21501555999998 -34.882637424999984, -58.215009617999954 -34.88263218299994, -58.21496432499998 -34.882592226999975, -58.21435239099998 -34.88207434599997, -58.21410499799998 -34.88186893599993, -58.21342820899997 -34.882388671999934, -58.213214714999935 -34.882552620999945, -58.214081903999954 -34.88334182999995, -58.21501555999998 -34.882637424999984)))",IGN
areas_de_actividad_agropecuaria_AL270.736,736,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.21094160999996 -34.879132467999966, -58.20976242099994 -34.88008357699994, -58.21073258299998 -34.88090629399994, -58.21103405699995 -34.88067249399995, -58.21162713899997 -34.880212540999935, -58.21191219299993 -34.87996998799997, -58.21096847899997 -34.87915565399993, -58.21094160999996 -34.879132467999966)))",IGN
areas_de_actividad_agropecuaria_AL270.737,737,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.22108579099995 -34.87918896299993, -58.220912064999936 -34.87939886799995, -58.220874306999974 -34.87958525899995, -58.22090175699998 -34.879875925999954, -58.220912762999944 -34.880228761999945, -58.220979099999965 -34.88040933899998, -58.220957503999955 -34.880514484999935, -58.220930049999936 -34.88061492199995, -58.221116078999955 -34.880670287999976, -58.22129025299995 -34.88070669399997, -58.22151022799994 -34.88070925399995, -58.22163761199994 -34.88071274299995, -58.22178691899995 -34.880708743999946, -58.22179622699997 -34.88057584799998, -58.22185795599995 -34.88013649399994, -58.22189787399998 -34.879376727999954, -58.22189091299998 -34.87913865999997, -58.221169335999946 -34.87918835599993, -58.22108579099995 -34.87918896299993)))",IGN
areas_de_actividad_agropecuaria_AL270.738,738,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.21629823699993 -34.87474750699994, -58.214990726999986 -34.87574459699994, -58.216095922999955 -34.876728895999975, -58.21740343499994 -34.87573179499998, -58.21629823699993 -34.87474750699994)))",IGN
