FID,gid,entidad,geom,fna,gna,nam,fun,atv,fdc,sag
puntos_de_transporte_aereo_GB001.1,1,1,POINT (-68.21931593999994 -37.56154897799996),,,,-1,-1,ESRI-World_Imagery-2010/IGN04/IGN Dirección de Geografía,IGN
puntos_de_transporte_aereo_GB001.2,2,1,POINT (-68.27104058699996 -37.60982065999997),,,,2,-1,ESRI-World_Imagery-2010/IGN01/IGN04/IGN Dirección de Geografía,IGN
puntos_de_transporte_aereo_GB001.3,3,1,POINT (-68.90327920699997 -37.38594386699998),Aeródromo Rincón de los Sauces,Aeródromo,Rincón de los Sauces,6,9,ESRI-World_Imagery-2010/IGN01/IGN04/Ministerio de Transporte de la Nación/IGN Dirección de Geograf,IGN
puntos_de_transporte_aereo_GB001.4,4,1,POINT (-69.85904212099996 -36.77584811099996),,,,-1,9,IGN,IGN
puntos_de_transporte_aereo_GB001.5,5,1,POINT (-71.15344735199994 -39.376988806999975),,,,-1,-1,ESRI-World_Imagery,IGN
puntos_de_transporte_aereo_GB001.10,10,1,POINT (-53.67128327399996 -26.27821502699993),Aeródromo Bernardo de Irigoyen,Aeródromo,Bernardo de Irigoyen,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.12,12,1,POINT (-64.03439804299995 -23.213031550999972),Aeródromo Salvita,Aeródromo,Salvita,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.13,13,1,POINT (-63.32302964099995 -23.242972300999952),Aeródromo El Desafío,Aeródromo,El Desafío,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.14,14,1,POINT (-64.17975190199996 -24.814588586999946),Aeródromo SAS Aeroaplicaciones,Aeródromo,SAS Aeroaplicaciones,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.15,15,1,POINT (-63.04996460799998 -24.718149405999952),Aeródromo Estancia Los Pozos,Aeródromo,Estancia Los Pozos,-1,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.16,16,1,POINT (-66.15734318399996 -25.105480176999947),Aeródromo Cachi,Aeródromo,Cachi,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.17,17,1,POINT (-64.96416155999998 -25.51150513799996),Aeródromo San José de Metán,Aeródromo,San José de Metán,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.18,18,1,POINT (-61.368489592999936 -32.81319064099995),Aeródromo Cañada de Gómez,Aeródromo,Cañada de Gómez,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.19,19,1,POINT (-61.50007148199995 -33.46864690999996),Aeródromo Firmat,Aeródromo,Firmat,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.20,20,1,POINT (-60.27131540499994 -28.569884833999936),Aeródromo El Aduar,Aeródromo,El Aduar,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.21,21,1,POINT (-62.480952283999954 -35.583201515999974),Aeródromo Establecimiento 10 de Noviembre,Aeródromo,Establecimiento 10 de Noviembre,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.22,22,1,POINT (-60.43802482199993 -30.53441565199995),Aeródromo Estancia El Cencerro,Aeródromo,Estancia El Cencerro,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.23,23,1,POINT (-64.64944072799995 -24.729531363999968),Aeródromo Estancia El Rey,Aeródromo,Estancia El Rey,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.24,24,1,POINT (-59.77699279099994 -34.03899345899998),Aeródromo Estancia La Elisa,Aeródromo,Estancia La Elisa,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.25,25,1,POINT (-63.044307490999984 -36.04534039499998),Aeródromo Nueva Castilla,Aeródromo,Nueva Castilla,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.26,26,1,POINT (-60.93848813999995 -35.40448808899998),Aeroclub 9 de Julio,Aeroclub,9 de Julio,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.27,27,1,POINT (-64.90489664999996 -34.35711405699993),Aeródromo Villa Valeria,Aeródromo,Villa Valeria,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.28,28,1,POINT (-60.17949671599996 -32.583559983999976),Aeródromo Victoria,Aeródromo,Victoria,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.30,30,1,POINT (-62.53134232299993 -32.73688072599998),Aeródromo Chialva S.H.,Aeródromo,Chialva S.H.,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.31,31,1,POINT (-63.558516390999955 -37.70023710299995),Aeródromo Guatraché,Aeródromo,Guatraché,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.33,33,1,POINT (-64.22326536999998 -36.59329086499997),Aeródromo San Alberto,Aeródromo,San Alberto,6,9,IGN/ANAC,IGN
