FID,gid,entidad,geom,fna,gna,nam,fun,fdc,sag
puntos_de_transporte_aereo_GB035.6,6,2,POINT (-68.28025003299996 -52.52251713199996),Heliplataforma Barcaza Yagana,Heliplataforma,Barcaza Yagana,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.7,7,2,POINT (-68.31094506999995 -52.549497078999934),Heliplataforma Equipo Modular M - 10,Heliplataforma,Equipo Modular M - 10,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.8,8,2,POINT (-68.25200083499993 -52.570531760999984),Heliplataforma AM 5,Heliplataforma,Am 5,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.9,9,2,POINT (-68.38437175299998 -52.53137166299996),Heliplataforma AM 1,Heliplataforma,AM 1,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.11,11,2,POINT (-58.60191584399996 -34.79172016599995),Helipuerto Campanópolis,Helipuerto,Campanópolis,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.29,29,2,POINT (-65.37221100599999 -24.83618364299997),Helipuerto Temet,Helipuerto,Temet,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.39,39,2,POINT (-57.92194534999999 -34.92456419599995),Helipuerto Hospital Interzonal General de Agudos General San Martín,Helipuerto,Hospital Interzonal General de Agudos General San Martín,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.40,40,2,POINT (-58.21245774799996 -34.78128120499997),Helipuerto Hospital Zonal General de Agudos Descentralizado Evita Pueblo,Helipuerto,Hospital Zonal General de Agudos Descentralizado Evita Pueblo,6,IGN,IGN
puntos_de_transporte_aereo_GB035.51,51,2,POINT (-60.709189435999974 -32.85177789199997),Helipuerto Hospital Eva Perón,Helipuerto,Hospital Eva Perón,6,IGN/Ministerio de Transporte,IGN
puntos_de_transporte_aereo_GB035.56,56,2,POINT (-64.34374526499994 -31.43978199399993),Helipuerto Berrini,Helipuerto,Berrini,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.57,57,2,POINT (-64.19030257299994 -31.440758666999955),Helipuerto Ciudad Universitaria,Helipuerto,Ciudad Universitaria,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.58,58,2,POINT (-64.39777842099994 -31.633107407999944),Helipuerto Oreste Berta,Helipuerto,Oreste Berta,6,IGN/ANAC,IGN
