FID,gid,entidad,geom,fna,gna,nam,fun,fdc,sag
puntos_de_transporte_ferroviario_AN070.1,1,0,POINT (-68.05828163799998 -38.955839296999955),Estación Neuquén,Estación,Neuquén,6,Esri-World Imagery 2010/IGN04/IGN Dirección de Geografía/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.2,2,0,POINT (-68.23301848399996 -38.95531099999994),Estación Plottier,Estación,Plottier,6,Esri-World Imagery 2010/IGN04/IGN Dirección de Geografía/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.3,3,0,POINT (-68.96308407399994 -38.97009100099996),Estación Challacó,Estación,Challacó,2,IGN01/Ministerio de Transporte de la Nación/Dir. Geografía IGN,IGN
puntos_de_transporte_ferroviario_AN070.4,4,0,POINT (-68.16089418299998 -38.95559114399998),Estación Neuquén Cargas,Estación,Neuquén Cargas,6,Esri-World Imagery 2010/IGN04/IGN Dirección de Geografía/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.5,5,0,POINT (-68.06493860999996 -38.826771787999974),Estación Cinco Saltos,Estación,Cinco Saltos,2,Esri-World Imagery 2010/IGN04/IGN Dirección de Geografía/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.6,6,0,POINT (-68.10132965899999 -38.756624182999985),Estación Contralmirante Cordero,Estación,Contralmirante Cordero,4,Esri-World Imagery 2010/IGN04/IGN Dirección de Geografía/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.7,7,0,POINT (-68.42729994699994 -39.00789755799997),Estación Senillosa,Estación,Senillosa,6,Esri-world_imagery-2010/IGN01/Ministerio de Transporte,IGN
puntos_de_transporte_ferroviario_AN070.8,8,0,POINT (-64.93718562499998 -38.83140501199995),Estación Pichi Mahuida,Estación,Pichi Mahuida,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.9,9,0,POINT (-65.74104442799995 -39.20574193999994),Estación Darwin,Estación,Darwin,6,IGN/Ferrosur,IGN
puntos_de_transporte_ferroviario_AN070.10,10,0,POINT (-67.23690387899995 -39.070243355999935),Estación Ingeniero Luis A. Huergo,Estación,Ingeniero Luis A. Huergo,2,IGN/Ministerio de Transporte de la Nación,IGN
